Payload, Eng_SW, SFC_SW
CABCMG, Nagel, OSO550
CABCMA, ,     
CHASM, , OSO150
CSMC, Paulus, AAS815
CSMC, , AAS815
ETCC, , AAS828
PRID, Bovenkamp, AAS870
TECC, Nagel (Kumbhar A.), AAS821
SBBC, Zachary Shaver Krissy Holland, AAS860
ATBC (UCC2), N.Rasmussen(S.Opp), OSO750
HYDC, Nagel, OSO650
PTAC, Kerzinger, OSM850
CRUC, Paulus, AAS883
CRU3, ,      
DE7, Paulus, AAS883
HYDR, Nagel, OSO850
ECUC, Bieser, AAS852
FLCC, EU28+  Kerzinger, AAP150 (old AAS895)
UCAN, ,    
ROW, ,
AUNZ, Neermann, AAP200
S42CAL, Flörchinger (Stark), AAS740